filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
deskchairyuv.ppm_10.h265,411.19921875,14.7738607540825,35.6290814600845,39.7135878691591,0.984684254018681,87.8857514133902,84.2888252612174
deskchairyuv.ppm_11.h265,361.98046875,16.7826734436207,34.8666726656973,38.9520021606518,0.982248815365756,86.3756814413168,82.8403546192096
deskchairyuv.ppm_12.h265,316.3017578125,19.2063428354426,34.1077666767188,38.193343407777,0.979477549021118,84.8646598106006,81.2364935112998
deskchairyuv.ppm_13.h265,273.4072265625,22.2196028846051,33.3871359822243,37.4730580093754,0.976494663194294,83.4205577803297,79.5613842252899
deskchairyuv.ppm_14.h265,234.224609375,25.9366426790524,32.6965020733996,36.7821346997491,0.973269859350771,82.0222623854111,77.8082736661734
deskchairyuv.ppm_15.h265,198.728515625,30.5693422048374,32.040870070316,36.1270069813681,0.969819229691034,80.6790594921854,75.9966934400666
deskchairyuv.ppm_16.h265,167.5341796875,36.2612573227245,31.4119837151284,35.4983535801447,0.966118415432554,79.367273315347,74.1249267645564
deskchairyuv.ppm_17.h265,140.173828125,43.3390461062576,30.8424726653566,34.9295312852297,0.96239448308486,78.1532821682511,72.3129370816141
deskchairyuv.ppm_18.h265,117.5283203125,51.6896692120417,30.3277482397552,34.4150932649353,0.958771024817973,77.025264659451,70.6159425043957
deskchairyuv.ppm_19.h265,98.1875,61.8714194780395,29.839484479842,33.9270047158432,0.954916750506759,75.9201574833901,68.8795474674428
deskchairyuv.ppm_20.h265,82.3720703125,73.7507261496876,29.3863141030906,33.4747647513284,0.951187879974348,74.8572772149717,67.2643396718411
deskchairyuv.ppm_21.h265,69.6142578125,87.2666058778144,28.9616136543191,33.0488524675124,0.947451763623807,73.8132276259512,65.7072017590831
deskchairyuv.ppm_22.h265,59.9599609375,101.31761103601,28.5460209486304,32.635940939418,0.943673520277637,72.751952513984,64.1922861420924
deskchairyuv.ppm_23.h265,51.69140625,117.524370890954,28.1640683249988,32.2512310417817,0.940128200688443,71.710652243015,62.8232441021444
deskchairyuv.ppm_24.h265,44.6962890625,135.917323952894,27.7557089546295,31.845260343994,0.935846912553534,70.5463931294027,61.2348837546917
deskchairyuv.ppm_25.h265,38.8203125,156.490239484806,27.3661669585249,31.4541297499632,0.9319582289937,69.3502465070055,59.8510758591594
