filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
pcgameyuv.ppm_10.h265,336.203125,18.0694334712088,33.082746603111,41.8756710252477,0.994983322940308,92.1534566083394,90.8402041883451
pcgameyuv.ppm_11.h265,314.408203125,19.3220149462346,32.1986004562615,40.9923931291488,0.99401531567578,90.4122455004809,90.1938575485369
pcgameyuv.ppm_12.h265,292.123046875,20.7960312100931,31.2448604649516,40.0401262679199,0.992854405247526,88.5317527704811,89.4273182148077
pcgameyuv.ppm_13.h265,270.03515625,22.4970706939201,30.3466861969414,39.1431885497095,0.991522362789792,86.7552931671105,88.5592109689262
pcgameyuv.ppm_14.h265,247.775390625,24.5181734339159,29.48020892413,38.2792766712946,0.989883866067292,85.0362521886231,87.5078938426489
pcgameyuv.ppm_15.h265,226.1796875,26.8591758488481,28.6574959341024,37.4581053169849,0.988091083762356,83.390450425752,86.3781002193225
pcgameyuv.ppm_16.h265,205.8505859375,29.5116964196764,27.8601616866266,36.6635480558644,0.986046459508886,81.7805680959545,85.1152670230449
pcgameyuv.ppm_17.h265,186.6904296875,32.5405003897035,27.0533391640759,35.8585376514991,0.983756970582784,80.1220765303157,83.7329623633998
pcgameyuv.ppm_18.h265,168.3740234375,36.0803874372879,26.2506595223089,35.0579678613403,0.981069614694103,78.4301028418406,82.1522010784304
pcgameyuv.ppm_19.h265,150.8056640625,40.2836328314716,25.4488188296253,34.2600916018825,0.978101540010552,76.6784349533638,80.4572621622931
pcgameyuv.ppm_20.h265,134.9755859375,45.0081394928192,24.6645580605362,33.4779452246609,0.97469344045575,74.8649048969947,78.5748959957521
pcgameyuv.ppm_21.h265,120.04296875,50.6068790472162,23.9171520203229,32.7358088749897,0.971131210024586,73.0135991458378,76.6778015120319
pcgameyuv.ppm_22.h265,106.6640625,56.9545154911009,23.1527429170243,31.9757395489623,0.966920441772759,70.9285990237492,74.5244604123541
pcgameyuv.ppm_23.h265,95.267578125,63.7677593947967,22.4294018155279,31.2573321171539,0.962591825761795,68.7172192949862,72.4072078716297
pcgameyuv.ppm_24.h265,84.361328125,72.0116685574051,21.7355812876723,30.570170147173,0.957608133792152,66.3195308139328,70.0847166157969
pcgameyuv.ppm_25.h265,74.62109375,81.4112966549757,21.0461064770032,29.8812176780919,0.95253841450273,63.584778544858,67.8421593363528
