filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
shopyuv.ppm_10.h265,187.94140625,32.3239041423316,37.1246728834795,42.4743045482651,0.989562224937083,93.332504069716,87.3036314187498
shopyuv.ppm_11.h265,165.51953125,36.7026172326717,36.5935268882373,41.9429285631136,0.988680670776886,92.2859593231496,86.7473096241895
shopyuv.ppm_12.h265,147,41.3265306122449,36.0671402426075,41.4167826659183,0.987745481506472,91.2491241040249,86.1627374183693
shopyuv.ppm_13.h265,131.30078125,46.2678130485229,35.4954528762244,40.8458347866666,0.986634381835591,90.123094297691,85.4756192179709
shopyuv.ppm_14.h265,117.888671875,51.5316688480591,34.9379181781625,40.288169330039,0.985484016740527,89.0220128943975,84.7726050534293
shopyuv.ppm_15.h265,106.4609375,57.063183385925,34.3730958745205,39.7229299159376,0.98414591354529,87.904243514482,83.9654576767541
shopyuv.ppm_16.h265,95.673828125,63.4969888741452,33.7883522595894,39.1390308276664,0.982630437604244,86.7470419473262,83.0648876682649
shopyuv.ppm_17.h265,86.5703125,70.1741720061366,33.1903529140003,38.5417175683488,0.980874330124604,85.5595493888213,82.0390559549603
shopyuv.ppm_18.h265,78.1484375,77.7366789963011,32.5798196962715,37.9301555277415,0.978856722118567,84.3382809865319,80.8835301519318
shopyuv.ppm_19.h265,70.6025390625,86.045064110544,31.9867532304679,37.3380987352301,0.976538187771395,83.1485947760648,79.5854523994708
shopyuv.ppm_20.h265,63.173828125,96.1632400680167,31.3535971205971,36.7054021372683,0.973813387367757,81.8659371240419,78.0996269788493
shopyuv.ppm_21.h265,57.0263671875,106.529668636013,30.7227092376393,36.0744095256298,0.970746097997215,80.5702772086222,76.4769042086707
shopyuv.ppm_22.h265,51.01171875,119.090282563749,30.0668854158618,35.4209699105121,0.96712269219814,79.203825780331,74.6257409856603
shopyuv.ppm_23.h265,45.779296875,132.701907077947,29.420696522591,34.773947866743,0.963350105651146,77.8155450177482,72.7712449100181
shopyuv.ppm_24.h265,40.6416015625,149.477377033424,28.7788083119627,34.1341963152754,0.958942254847417,76.394014814363,70.6947058630722
shopyuv.ppm_25.h265,36.1845703125,167.889239737673,28.105113380562,33.4615220970456,0.95402839968711,74.8254924539979,68.4890741424638
