filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
streetyuv.ppm_10.h265,353.841796875,17.1686896620245,33.6971969420012,40.0281358600216,0.978646935443071,88.5080442947084,80.7647762800893
streetyuv.ppm_11.h265,316.09765625,19.2187442073133,33.0325706040846,39.3646662179275,0.975736578839858,87.1945788351763,79.1439326342484
streetyuv.ppm_12.h265,281.7294921875,21.5632376746588,32.3628633316492,38.6948917465902,0.972381696417559,85.8644992824734,77.3357294363768
streetyuv.ppm_13.h265,251.5693359375,24.1484121161304,31.7134923776836,38.0462561672882,0.968727765875479,84.5706471823238,75.437130006093
streetyuv.ppm_14.h265,223.6865234375,27.1585427080832,31.0658668403035,37.4002931933478,0.96468688364978,83.2739884289736,73.4200474180666
streetyuv.ppm_15.h265,199.0029296875,30.5271887682244,30.4188510240294,36.7529497486326,0.960004299075301,81.9628323547332,71.1863713524826
streetyuv.ppm_16.h265,176.1123046875,34.4950343519705,29.7718865821177,36.1059187299743,0.954726137683533,80.6354636617802,68.7954609826079
streetyuv.ppm_17.h265,155.9873046875,38.9454770833464,29.1349243759448,35.4699949992198,0.948905021249421,79.3074315713645,66.3057694094687
streetyuv.ppm_18.h265,137.16796875,44.2887654848355,28.4981386171763,34.8333901501081,0.942437999348337,77.9449049318365,63.7095221787456
streetyuv.ppm_19.h265,120.349609375,50.4779369999513,27.8702119402525,34.2076151074966,0.935113267159463,76.560188034111,60.9696012198042
streetyuv.ppm_20.h265,105.7373046875,57.453705841607,27.2709699574509,33.6087834542829,0.92733419061855,75.1767171039608,58.2751640215042
streetyuv.ppm_21.h265,92.3486328125,65.7833236398245,26.6733967562305,33.0124305546981,0.918700531840262,73.7217013360397,55.5225491015917
streetyuv.ppm_22.h265,80.623046875,75.3506625645001,26.1037694936604,32.4445785716804,0.909204679878973,72.2409029835259,52.7572655970166
streetyuv.ppm_23.h265,70.466796875,86.2108151556307,25.5327630619875,31.875962130961,0.898991586579187,70.6370436222686,50.0586903381834
streetyuv.ppm_24.h265,61.2919921875,99.1157210458391,24.9814318664099,31.3265494628458,0.88853269159863,68.9423896723922,47.5592397585697
streetyuv.ppm_25.h265,53.0517578125,114.510814542108,24.4618190776487,30.805136381721,0.876916137020732,67.1741599982691,45.0601953187806
