filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
shop.ppm_10.h265,399.900390625,15.1912829855091,38.4523358285547,43.8048863799096,0.991451097875124,95.9513832551355,88.5131079142207
shop.ppm_11.h265,346.6806640625,17.5233309201946,37.8612585305636,43.2138047455976,0.990621975705119,94.7882369274359,87.9792543543963
shop.ppm_12.h265,302.3759765625,20.0908817858562,37.2532464941697,42.6060173800174,0.989685403761258,93.591838687806,87.3817763148074
shop.ppm_13.h265,264.3125,22.9841570111137,36.6709195946821,42.0243559804037,0.988702885713481,92.4463650845116,86.7612656869903
shop.ppm_14.h265,233.0029296875,26.0726335421949,36.0813313504362,41.4348554196226,0.987593946626993,91.2847505083789,86.0685540617576
shop.ppm_15.h265,206.2177734375,29.4591484464902,35.4658964919953,40.8192456313068,0.986345746076522,90.0706265519972,85.2984295503963
shop.ppm_16.h265,183.1748046875,33.1650415042837,34.8535511418488,40.2072839919776,0.98489018773895,88.8621809739217,84.4130078842609
shop.ppm_17.h265,163.6669921875,37.1180524478654,34.2316861112218,39.5855111062244,0.983297896019431,87.6321625806086,83.4597619442357
shop.ppm_18.h265,146.8623046875,41.3652775838337,33.6063065822765,38.9601106989827,0.981479125044329,86.3917896706122,82.3902185909242
shop.ppm_19.h265,132.0205078125,46.0155781905333,32.9713431148117,38.3258768018511,0.979359384056359,85.1292512449396,81.1691353769602
shop.ppm_20.h265,118.5283203125,51.2535736943142,32.3218999317039,37.6772924383642,0.976882357315989,83.8312105352145,79.7761574261551
shop.ppm_21.h265,106.3427734375,57.126589834244,31.6758345914825,37.0307773315182,0.974272370399891,82.5272801720584,78.3469532038071
shop.ppm_22.h265,95.1005859375,63.8797326021996,31.020509515948,36.376192000429,0.971204559737765,81.1923799949582,76.716156759873
shop.ppm_23.h265,85.251953125,71.2593644757039,30.3955727498191,35.7506588471223,0.967829420016049,79.8969751292648,74.9813295510178
shop.ppm_24.h265,75.986328125,79.9485927258707,29.7464975135782,35.1037021861982,0.963916067576658,78.528265684803,73.0448317097387
shop.ppm_25.h265,67.91796875,89.446137919135,29.1094402049081,34.4662761766189,0.959479252970174,77.1390254261773,70.9426274030488
